Time	AI	AV	ILRS	IHRS	I	ID	IMAX	VSET	NORM_COND	RATIO_SET_NEG
410.1377E-2	298.0951E-12	000.0000E+0	108.9703E-6	321.8892E-9	298.0951E-12	#REF	492.6140E-6	143.0000E-2	#REF	338.5337E+0
646.7455E-2	-140.7792E-8	-540.0000E-3			140.7792E-8	271.6649E-10			336.3059E-4
649.6472E-2	-146.8871E-8	-550.0000E-3			146.8871E-8	610.7905E-10			344.5170E-4
652.5512E-2	-151.2316E-8	-560.0000E-3			151.2316E-8	434.4463E-10			348.3727E-4
655.4517E-2	-157.0986E-8	-570.0000E-3			157.0986E-8	586.7048E-10			355.5390E-4
658.3522E-2	-160.6565E-8	-580.0000E-3			160.6565E-8	355.7830E-10			357.3221E-4
661.2527E-2	-159.7323E-8	-590.0000E-3			159.7323E-8	-924.1489E-11			349.2452E-4
664.1560E-2	-156.3517E-8	-600.0000E-3			156.3517E-8	-338.0558E-10			336.1562E-4
667.0567E-2	-161.6806E-8	-610.0000E-3			161.6806E-8	532.8809E-10			341.9146E-4
669.9593E-2	-163.8324E-8	-620.0000E-3			163.8324E-8	215.1876E-10			340.8772E-4
672.8599E-2	-167.1378E-8	-630.0000E-3			167.1378E-8	330.5331E-10			342.2345E-4
675.7621E-2	-173.2791E-8	-640.0000E-3			173.2791E-8	614.1295E-10			349.2656E-4
678.6644E-2	-177.3336E-8	-650.0000E-3			177.3336E-8	405.4516E-10			351.9389E-4
681.5660E-2	-181.7183E-8	-660.0000E-3			181.7183E-8	438.4708E-10			355.1766E-4
684.4684E-2	-187.1585E-8	-670.0000E-3			187.1585E-8	544.0222E-10			360.3499E-4
687.3693E-2	-192.1293E-8	-680.0000E-3			192.1293E-8	497.0798E-10			364.4806E-4
690.2690E-2	-198.4877E-8	-690.0000E-3			198.4877E-8	635.8437E-10			371.0858E-4
693.1685E-2	-200.4984E-8	-700.0000E-3			200.4984E-8	201.0688E-10			369.4900E-4
696.0717E-2	-204.8316E-8	-710.0000E-3			204.8316E-8	433.3174E-10			372.1588E-4
698.9727E-2	-210.3524E-8	-720.0000E-3			210.3524E-8	552.0815E-10			376.8814E-4
701.8764E-2	-215.9370E-8	-730.0000E-3			215.9370E-8	558.4570E-10			381.5873E-4
704.7766E-2	-221.1897E-8	-740.0000E-3			221.1897E-8	525.2764E-10			385.5875E-4
707.6798E-2	-229.5685E-8	-750.0000E-3			229.5685E-8	837.8720E-10			394.8578E-4
710.5814E-2	-235.9625E-8	-760.0000E-3			235.9625E-8	639.3998E-10			400.5152E-4
713.4830E-2	-244.0150E-8	-770.0000E-3			244.0150E-8	805.2552E-10			408.8044E-4
716.3849E-2	-254.8469E-8	-780.0000E-3			254.8469E-8	108.3192E-9			421.4776E-4
719.2844E-2	-259.8660E-8	-790.0000E-3			259.8660E-8	501.9024E-10			424.3381E-4
722.1864E-2	-261.0342E-8	-800.0000E-3			261.0342E-8	116.8269E-10			420.9177E-4
725.0870E-2	-264.2399E-8	-810.0000E-3			264.2399E-8	320.5628E-10			420.8264E-4
727.9907E-2	-269.4858E-8	-820.0000E-3			269.4858E-8	524.5988E-10			423.9473E-4
730.8915E-2	-273.1693E-8	-830.0000E-3			273.1693E-8	368.3476E-10			424.5644E-4
733.7936E-2	-281.3918E-8	-840.0000E-3			281.3918E-8	822.2469E-10			432.1374E-4
736.6948E-2	-290.8314E-8	-850.0000E-3			290.8314E-8	943.9623E-10			441.3794E-4
739.5973E-2	-289.9216E-8	-860.0000E-3			289.9216E-8	-909.8130E-11			434.8824E-4
742.4992E-2	-295.6325E-8	-870.0000E-3			295.6325E-8	571.0922E-10			438.3517E-4
745.4007E-2	-316.4433E-8	-880.0000E-3			316.4433E-8	208.1081E-9			463.8772E-4
748.3023E-2	-315.4810E-8	-890.0000E-3			315.4810E-8	-962.3818E-11			457.2702E-4
751.2018E-2	-287.5227E-8	-900.0000E-3			287.5227E-8	-279.5825E-9			412.1159E-4
754.1036E-2	-299.0504E-8	-910.0000E-3			299.0504E-8	115.2773E-9			423.9286E-4
757.0036E-2	-301.0990E-8	-920.0000E-3			301.0990E-8	204.8614E-10			422.1932E-4
759.9063E-2	-311.7487E-8	-930.0000E-3			311.7487E-8	106.4966E-9			432.4256E-4
762.8066E-2	-324.9512E-8	-940.0000E-3			324.9512E-8	132.0254E-9			445.9437E-4
765.7110E-2	-321.2626E-8	-950.0000E-3			321.2626E-8	-368.8638E-10			436.2408E-4
768.6118E-2	-329.0793E-8	-960.0000E-3			329.0793E-8	781.6652E-10			442.2003E-4
771.5148E-2	-332.2862E-8	-970.0000E-3			332.2862E-8	320.6969E-10			441.9064E-4
774.4171E-2	-331.9367E-8	-980.0000E-3			331.9367E-8	-349.5416E-11			436.9371E-4
777.3185E-2	-342.4516E-8	-990.0000E-3			342.4516E-8	105.1487E-9			446.2248E-4
780.2197E-2	-353.8848E-8	-100.0000E-2			353.8848E-8	114.3319E-9			456.5113E-4
783.1191E-2	-361.5138E-8	-101.0000E-2			361.5138E-8	762.9069E-10			461.7355E-4
786.0216E-2	-367.5339E-8	-102.0000E-2			367.5339E-8	602.0127E-10			464.8224E-4
