Cycle	SET_negative#1	SET_negative#1	SET_negative#1	SET_negative#1	SET_positive#1	SET_positive#1	SET_positive#1	SET_positive#1	RESET_negative#1	RESET_negative#1	RESET_negative#1	RESET_negative#1	RESET_negative#1	RESET_positive#1	RESET_positive#1	RESET_positive#1	RESET_positive#1	RESET_positive#1	CVS#1	CVS#1	CVS#1
Index	ILRS	IHRS	VSET	RATIO_SET_NEG	ILRS	IHRS	VSET	RATIO_SET_POS	ILRS	IHRS	RATIO_POSITIVE	VRESET	IRESET	ILRS	IHRS	RATIO_POSITIVE	VRESET	IRESET	AI	AV	Time
34	182.0269E-6	125.2562E-8	690.0000E-3	145.3236E+0										180.6046E-6	222.0311E-8	813.4205E-1	670.0000E-3	547.0325E-6
35	179.9296E-6	189.1078E-8	630.0000E-3	951.4655E-1										178.2178E-6	201.5077E-8	884.4216E-1	690.0000E-3	536.1891E-6
36	180.3099E-6	127.6475E-8	790.0000E-3	141.2561E+0										178.1098E-6	183.7892E-8	969.0984E-1	700.0000E-3	551.1425E-6
37	154.3883E-6	142.5433E-8	460.0000E-3	108.3098E+0										152.1445E-6	890.9044E-9	170.7753E+0	570.0000E-3	412.5869E-6
38	179.7862E-6	762.0548E-9	113.0000E-2	235.9229E+0										177.7376E-6	248.0925E-8	716.4168E-1	720.0000E-3	525.4635E-6
39	168.1702E-6	256.6718E-8	570.0000E-3	655.1954E-1										166.0456E-6	215.3765E-8	770.9550E-1	590.0000E-3	479.8565E-6
40	155.4745E-6	134.4116E-8	790.0000E-3	115.6704E+0										153.2887E-6	288.0142E-8	532.2263E-1	590.0000E-3	422.2570E-6
41	161.9431E-6	231.8486E-8	590.0000E-3	698.4862E-1										160.0033E-6	243.6464E-8	656.7030E-1	590.0000E-3	455.6340E-6
42	163.6542E-6	151.8970E-8	800.0000E-3	107.7402E+0										162.1276E-6	337.2789E-8	480.6929E-1	650.0000E-3	495.8725E-6
43	152.0642E-6	464.1050E-8	660.0000E-3	327.6505E-1										150.0062E-6	133.3957E-8	112.4521E+0	600.0000E-3	438.3890E-6
44	153.7005E-6	973.6697E-9	760.0000E-3	157.8569E+0										151.6995E-6	116.2403E-8	130.5051E+0	600.0000E-3	433.2582E-6
45	158.3254E-6	819.2166E-9	870.0000E-3	193.2644E+0										156.3012E-6	338.0654E-8	462.3403E-1	610.0000E-3	432.1264E-6
46	153.9510E-6	168.3621E-8	550.0000E-3	914.4043E-1										152.0574E-6	160.0768E-8	949.9028E-1	680.0000E-3	449.3053E-6
47	158.7331E-6	103.7693E-8	870.0000E-3	152.9673E+0										156.4681E-6	200.9976E-8	778.4574E-1	670.0000E-3	490.4394E-6
48	150.8497E-6	133.5973E-8	440.0000E-3	112.9137E+0										148.5560E-6	182.6378E-8	813.3910E-1	730.0000E-3	434.8392E-6
49	153.2131E-6	102.0896E-8	820.0000E-3	150.0771E+0										151.3813E-6	201.0742E-8	752.8633E-1	620.0000E-3	435.6960E-6
50	151.1028E-6	113.5630E-8	860.0000E-3	133.0564E+0										149.3359E-6	371.8202E-8	401.6347E-1	720.0000E-3	465.6180E-6
51	165.9484E-6	242.3397E-8	790.0000E-3	684.7759E-1										164.1845E-6	119.3505E-8	137.5651E+0	730.0000E-3	497.1218E-6
52	172.9822E-6	666.6311E-9	980.0000E-3	259.4872E+0										171.2486E-6	170.7197E-8	100.3098E+0	730.0000E-3	525.5199E-6
53	173.1597E-6	842.3644E-9	950.0000E-3	205.5638E+0										171.5390E-6	198.1675E-8	865.6261E-1	800.0000E-3	552.8164E-6
54	169.8234E-6	128.9423E-8	102.0000E-2	131.7049E+0										167.8607E-6	168.6549E-8	995.2910E-1	730.0000E-3	562.9829E-6
55	398.6888E-7	172.6972E-8	102.0000E-2	230.8600E-1										364.6570E-7	194.2881E-8	187.6888E-1	800.0000E-3	688.9648E-6
56	179.0051E-6	166.9463E-8	830.0000E-3	107.2232E+0										177.5339E-6	241.8936E-8	733.9337E-1	670.0000E-3	564.1919E-6
57	174.2807E-6	221.0500E-8	680.0000E-3	788.4220E-1										172.4057E-6	319.7800E-8	539.1384E-1	710.0000E-3	540.8338E-6
58	172.6914E-6	242.3219E-8	620.0000E-3	712.6528E-1										170.6226E-6	233.3816E-8	731.0883E-1	730.0000E-3	582.6163E-6
59	171.0549E-6	221.0899E-8	700.0000E-3	773.6890E-1										169.3157E-6	249.6241E-8	678.2827E-1	570.0000E-3	497.7801E-6
60	229.0105E-6	124.7803E-8	670.0000E-3	183.5309E+0										226.5540E-6	529.6363E-8	427.7539E-1	840.0000E-3	823.9985E-6
61	198.9040E-6	372.1830E-8	610.0000E-3	534.4253E-1										197.1830E-6	202.3270E-8	974.5762E-1	740.0000E-3	677.6637E-6
